education,language,age_category,income_category,income_number,gender,province,health,citizenship,born_in_canada,marital_status,owns_house,vote_choice
Bachelor,English,35-44,"$75,000 to $99,999",78000,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,3
Postgrad,English,35-44,"$25,000 to $49,999",40000,Male,Ontario,Poor/Fair,Yes,No,Married,No residence,3
No degree/diploma,English,65-74,"Less than $25,000",-5226421373869112e28,Male,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,5
Postgrad,English_and_French,65-74,"$125,000 and more",140000,Male,Maintoba,Excellent,Yes,Yes,Married,Own a residence,2
College/Trade,English_and_French,45-54,"Less than $25,000",13000,Female,Alberta,Don't Know,Yes,Yes,Divorced,No residence,1
High School,English_and_French,15-24,"Less than $25,000",-39910058238206297e27,Female,Alberta,Poor/Fair,Yes,Yes,Never Married,Own a residence,2
Postgrad,English,25-34,"$125,000 and more",500000,Female,Ontario,Excellent,Yes,Yes,Never Married,Own a residence,1
High School,English,65-74,"$100,000 to $ 124,999",120000,Male,British Columbia,Good/Very Good,Yes,Yes,Married,Own a residence,2
High School,English,25-34,"$50,000 to $74,999",66000,Male,Alberta,Excellent,Yes,Yes,Never Married,Own a residence,2
College/Trade,English_and_French,25-34,"$75,000 to $99,999",90000,Female,Ontario,Good/Very Good,Yes,No,Divorced,Own a residence,2
High School,English,15-24,"$50,000 to $74,999",51000,Male,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,1
Bachelor,English,25-34,"$125,000 and more",160000,Female,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,3
Bachelor,English,55-64,"Less than $25,000",12000,Male,British Columbia,Good/Very Good,Yes,Yes,Never Married,No residence,1
College/Trade,French,55-64,"Less than $25,000",-43442025871309517e27,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,5
High School,English,25-34,"Less than $25,000",-5039325961759174e28,Female,Ontario,Poor/Fair,Yes,Yes,Married,No residence,3
High School,English_and_French,15-24,"Less than $25,000",15000,Female,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,1
Bachelor,English_and_French,15-24,"Less than $25,000",-39935865252913584e27,Female,Quebec,Poor/Fair,Yes,Yes,Never Married,Own a residence,5
Postgrad,English,25-34,"Less than $25,000",-4303205367564317e28,Male,Maintoba,Poor/Fair,No,Yes,Never Married,No residence,5
Postgrad,English,25-34,"$125,000 and more",130000,Male,British Columbia,Excellent,Yes,Yes,Married,Own a residence,2
Bachelor,English_and_French,25-34,"$125,000 and more",130000,Female,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English,45-54,"$50,000 to $74,999",56000,Male,Ontario,Good/Very Good,Yes,Yes,Separated,Own a residence,3
Bachelor,English_and_French,45-54,"$125,000 and more",10449381330968007e42,Male,Maintoba,Excellent,Yes,Yes,Married,No residence,2
Postgrad,English_and_French,25-34,"$50,000 to $74,999",60000,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,1
High School,English,55-64,"$25,000 to $49,999",40000,Male,New Brunswick,Poor/Fair,Yes,Yes,Married,Own a residence,1
College/Trade,English,35-44,"$100,000 to $ 124,999",110000,Male,Quebec,Poor/Fair,Yes,Yes,Living with a partner,Own a residence,3
College/Trade,English,55-64,"$50,000 to $74,999",69000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
College/Trade,English,35-44,"Less than $25,000",13000,Female,New Brunswick,Good/Very Good,Yes,Yes,Never Married,No residence,1
Bachelor,French,55-64,"$125,000 and more",155000,Male,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,1
College/Trade,French,65-74,"$100,000 to $ 124,999",120000,Female,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,5
College/Trade,French,25-34,"Less than $25,000",-4814990047413408e28,Female,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,3
Postgrad,English_and_French,15-24,"Less than $25,000",-365678864980769e29,Female,Ontario,Excellent,Yes,No,Never Married,Own a residence,3
College/Trade,English_and_French,35-44,"$125,000 and more",145000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
College/Trade,French,45-54,"Less than $25,000",-39602551868867185e27,Female,Quebec,Excellent,Yes,Yes,Living with a partner,Own a residence,4
College/Trade,English,45-54,"$100,000 to $ 124,999",120000,Female,British Columbia,Excellent,Yes,Yes,Married,Own a residence,3
Bachelor,English,55-64,"$25,000 to $49,999",45000,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,1
Bachelor,English_and_French,65-74,"$50,000 to $74,999",70000,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,5
High School,English,25-34,"Less than $25,000",-4906163943676737e28,Male,Alberta,Poor/Fair,Yes,Yes,Never Married,No residence,3
College/Trade,English_and_French,35-44,"$125,000 and more",150000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
College/Trade,English,65-74,"$50,000 to $74,999",58000,Female,Alberta,Good/Very Good,Yes,Yes,Widowed,No residence,1
Postgrad,English,25-34,"Less than $25,000",24000,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,1
No degree/diploma,English,25-34,"Less than $25,000",7000,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,1
High School,English,75-84,"$25,000 to $49,999",25000,Female,Ontario,Good/Very Good,Yes,Yes,Widowed,Own a residence,1
Postgrad,English,35-44,"$50,000 to $74,999",56000,Female,Alberta,Poor/Fair,Yes,Yes,Divorced,Own a residence,2
College/Trade,French,25-34,"$75,000 to $99,999",75000,Female,Quebec,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,3
Bachelor,English_and_French,25-34,"Less than $25,000",-43861471528070943e27,Female,Quebec,Good/Very Good,Yes,Yes,Never Married,Own a residence,3
College/Trade,English_and_French,25-34,"Less than $25,000",3435670899567008e40,Female,Ontario,Don't Know,Yes,Yes,Separated,No residence,1
Postgrad,English,55-64,"$125,000 and more",250000,Female,British Columbia,Excellent,Yes,Yes,Never Married,No residence,5
College/Trade,English,65-74,"Less than $25,000",-5026651124156103e28,Male,Ontario,Good/Very Good,Yes,Yes,Married,No residence,3
Bachelor,French,45-54,"$100,000 to $ 124,999",100000,Female,Quebec,Poor/Fair,Yes,Yes,Married,Own a residence,1
College/Trade,French,25-34,"$75,000 to $99,999",78000,Female,Quebec,Good/Very Good,Yes,Yes,Married,No residence,2
College/Trade,English,35-44,"$25,000 to $49,999",40000,Female,Ontario,Don't Know,Yes,Yes,Divorced,No residence,3
Postgrad,French,45-54,"Less than $25,000",-3875015815102491e28,Female,Quebec,Excellent,Yes,Yes,Living with a partner,Own a residence,1
High School,English,15-24,"Less than $25,000",-4832739175672005e28,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,1
College/Trade,English,25-34,"Less than $25,000",-4867562311973225e28,Female,Alberta,Poor/Fair,Yes,Yes,Never Married,No residence,3
College/Trade,French,75-84,"$50,000 to $74,999",70000,Male,Ontario,Good/Very Good,Yes,Yes,Separated,Own a residence,2
Postgrad,English_and_French,35-44,"$125,000 and more",180000,Male,Quebec,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,4
Bachelor,English,55-64,"Less than $25,000",-4495494849722936e28,Female,British Columbia,Excellent,Yes,Yes,Living with a partner,Own a residence,5
No degree/diploma,English_and_French,15-24,"Less than $25,000",-40406924939089575e27,Male,Quebec,Poor/Fair,Yes,No,Never Married,Own a residence,3
Bachelor,French,55-64,"Less than $25,000",-4933157863279842e28,Male,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,4
College/Trade,English,55-64,"$25,000 to $49,999",25000,Female,Maintoba,Poor/Fair,Yes,Yes,Married,No residence,2
Bachelor,English_and_French,35-44,"$50,000 to $74,999",73000,Female,Alberta,Don't Know,Yes,No,Never Married,Own a residence,1
College/Trade,English,35-44,"$50,000 to $74,999",62000,Female,Ontario,Don't Know,Yes,Yes,Married,Own a residence,5
High School,English,75-84,"$50,000 to $74,999",65000,Male,British Columbia,Good/Very Good,Yes,Yes,Married,No residence,3
Bachelor,English,65-74,"$75,000 to $99,999",93000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
College/Trade,English,45-54,"$125,000 and more",150000,Female,Prince Edward Island,Excellent,Yes,Yes,Married,Own a residence,1
Bachelor,English,65-74,"Less than $25,000",-4919034783923155e28,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,5
Bachelor,French,45-54,"$125,000 and more",150000,Female,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English,75-84,"Less than $25,000",-5035732579964489e28,Female,Alberta,Good/Very Good,Yes,Yes,Widowed,Own a residence,2
College/Trade,French,65-74,"$25,000 to $49,999",25000,Female,Quebec,Excellent,Yes,Yes,Married,Own a residence,4
Bachelor,English,35-44,"$25,000 to $49,999",41000,Male,Alberta,Poor/Fair,Yes,Yes,Never Married,Own a residence,2
Bachelor,English_and_French,35-44,"Less than $25,000",-4438479858580599e28,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
College/Trade,English,45-54,"Less than $25,000",-4487338961952576e28,Male,Alberta,Poor/Fair,Yes,No,Married,Own a residence,2
Postgrad,English,45-54,"$125,000 and more",180000,Female,Newfoundland and Labrador,Excellent,Yes,Yes,Married,Own a residence,3
No degree/diploma,French,35-44,"$50,000 to $74,999",50000,Male,Quebec,Poor/Fair,No,Yes,Living with a partner,No residence,4
College/Trade,English,45-54,"Less than $25,000",15000,Male,Ontario,Don't Know,Yes,Yes,Divorced,No residence,1
Postgrad,English,35-44,"Less than $25,000",-38257755954795637e27,Female,Alberta,Excellent,Yes,Don't know/Prefer not to say,Never Married,No residence,2
Postgrad,French,75-84,"$100,000 to $ 124,999",120000,Female,Ontario,Excellent,Yes,Yes,Widowed,Own a residence,1
Bachelor,English,45-54,"$25,000 to $49,999",38000,Male,Saskatchewan,Poor/Fair,Yes,Yes,Never Married,No residence,3
College/Trade,English,55-64,"Less than $25,000",-5029765388378163e28,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
College/Trade,English_and_French,35-44,"$25,000 to $49,999",49000,Female,Nova Scoita,Poor/Fair,Yes,Yes,Living with a partner,No residence,3
Bachelor,English,25-34,"$125,000 and more",125000,Male,Ontario,Excellent,Yes,Yes,Living with a partner,Own a residence,2
College/Trade,Neither English nor French,35-44,"$125,000 and more",149000,Female,Alberta,Don't Know,Yes,Yes,Married,Own a residence,2
Postgrad,English_and_French,25-34,"$50,000 to $74,999",73000,Female,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English,35-44,"$25,000 to $49,999",35000,Female,Ontario,Don't Know,Yes,No,Never Married,No residence,3
Postgrad,English,55-64,"Less than $25,000",-5242852928802991e28,Male,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,2
Bachelor,Neither English nor French,35-44,"Less than $25,000",-4931284949132309e28,Female,Ontario,Good/Very Good,Yes,No,Married,Own a residence,1
Postgrad,English,15-24,"Less than $25,000",-4765346933468046e28,Male,British Columbia,Good/Very Good,Yes,Yes,Divorced,No residence,3
College/Trade,English,45-54,"$50,000 to $74,999",65000,Male,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,2
Bachelor,English,55-64,"Less than $25,000",22000,Male,Ontario,Poor/Fair,Yes,Yes,Married,No residence,3
Bachelor,English,25-34,"Less than $25,000",-5208661356574774e28,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,3
High School,English_and_French,15-24,"Less than $25,000",-39235155802949984e27,Male,Maintoba,Poor/Fair,Yes,Yes,Never Married,Own a residence,5
College/Trade,English,35-44,"$100,000 to $ 124,999",120000,Female,Alberta,Poor/Fair,Yes,Yes,Married,Own a residence,3
Bachelor,French,65-74,"$125,000 and more",500000,Male,Ontario,Excellent,Yes,Yes,Living with a partner,Own a residence,1
No degree/diploma,English,35-44,"Less than $25,000",-4518971610781546e28,Female,Alberta,Don't Know,Yes,Yes,Separated,No residence,5
High School,English_and_French,35-44,"$100,000 to $ 124,999",100000,Male,Saskatchewan,Good/Very Good,Yes,Yes,Married,Own a residence,6
College/Trade,English,45-54,"Less than $25,000",-4649901376536982e28,Male,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,2
Bachelor,English,15-24,"Less than $25,000",-4777303094712181e28,Male,Alberta,Poor/Fair,Yes,Yes,Never Married,Own a residence,2
College/Trade,English,45-54,"$25,000 to $49,999",35000,Male,Maintoba,Poor/Fair,Yes,Yes,Never Married,Own a residence,2
College/Trade,English,55-64,"$100,000 to $ 124,999",100000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
College/Trade,English_and_French,35-44,"$25,000 to $49,999",29095,Female,Alberta,Poor/Fair,Yes,Yes,Don't know/Prefer not to answer,No residence,3
College/Trade,French,25-34,"$25,000 to $49,999",30000,Male,Quebec,Excellent,Yes,Yes,Never Married,No residence,5
Bachelor,French,45-54,"$75,000 to $99,999",78000,Male,Quebec,Good/Very Good,Yes,Yes,Separated,Own a residence,4
College/Trade,English,55-64,"Less than $25,000",-511618077602247e29,Female,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,2
High School,English,55-64,"Less than $25,000",-5109124680861997e28,Male,British Columbia,Poor/Fair,Yes,Yes,Married,Own a residence,2
College/Trade,English,55-64,"$100,000 to $ 124,999",110000,Male,British Columbia,Excellent,Yes,Yes,Married,Own a residence,2
Bachelor,English,65-74,"Less than $25,000",-5217710145275936e28,Male,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,5
Bachelor,French,45-54,"$75,000 to $99,999",83000,Male,Ontario,Good/Very Good,No,No,Married,Own a residence,1
College/Trade,English,45-54,"$50,000 to $74,999",74000,Male,Quebec,Good/Very Good,Yes,No,Married,No residence,1
Bachelor,English,35-44,"Less than $25,000",-512418421729245e29,Female,Maintoba,Good/Very Good,Yes,Yes,Living with a partner,No residence,3
Bachelor,French,35-44,"$75,000 to $99,999",85000,Female,Quebec,Good/Very Good,Yes,Yes,Never Married,Own a residence,4
College/Trade,English,65-74,"Less than $25,000",-4870785466552701e28,Female,British Columbia,Good/Very Good,Yes,No,Divorced,No residence,3
Bachelor,English,45-54,"$125,000 and more",135000,Male,Ontario,Excellent,Yes,Yes,Divorced,Own a residence,2
Postgrad,English,45-54,"$125,000 and more",130000,Male,Alberta,Poor/Fair,Yes,Yes,Married,Own a residence,2
Bachelor,English,45-54,"$100,000 to $ 124,999",110000,Male,Nova Scoita,Poor/Fair,Yes,Yes,Married,Own a residence,2
High School,French,55-64,"$100,000 to $ 124,999",119000,Male,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,1
College/Trade,English,45-54,"Less than $25,000",24000,Male,Ontario,Poor/Fair,Yes,Yes,Divorced,No residence,1
College/Trade,English,65-74,"$75,000 to $99,999",80000,Male,Maintoba,Good/Very Good,Yes,Yes,Married,Own a residence,1
College/Trade,English,35-44,"$100,000 to $ 124,999",115000,Female,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,2
Postgrad,English,65-74,"$100,000 to $ 124,999",100000,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,3
Bachelor,French,45-54,"$75,000 to $99,999",95000,Female,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,1
High School,English,45-54,"Less than $25,000",-4659146167881489e28,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2
No degree/diploma,Neither English nor French,25-34,"$125,000 and more",2192988735195943e44,Male,Ontario,Good/Very Good,Yes,Don't know/Prefer not to say,Don't know/Prefer not to answer,No residence,1
High School,English_and_French,25-34,"$125,000 and more",130000,Female,British Columbia,Poor/Fair,Yes,Yes,Living with a partner,No residence,5
College/Trade,English,25-34,"$75,000 to $99,999",85000,Female,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,3
Postgrad,English,25-34,"Less than $25,000",-4878386013500247e28,Male,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Living with a partner,No residence,1
Bachelor,English,35-44,"$125,000 and more",250000,Female,British Columbia,Excellent,Yes,Yes,Married,Own a residence,2
College/Trade,English_and_French,15-24,"$125,000 and more",160000,Female,Ontario,Excellent,Yes,No,Never Married,Own a residence,1
Bachelor,English_and_French,65-74,"Less than $25,000",-40756245205675933e27,Female,Quebec,Excellent,Yes,Yes,Never Married,Own a residence,1
College/Trade,English_and_French,45-54,"$75,000 to $99,999",80000,Female,Maintoba,Good/Very Good,Yes,Yes,Married,Own a residence,3
College/Trade,English,55-64,"Less than $25,000",12000,Female,British Columbia,Don't Know,Yes,Yes,Never Married,No residence,1
Bachelor,English,45-54,"$125,000 and more",140000,Male,Nova Scoita,Poor/Fair,Yes,Yes,Married,Own a residence,1
Bachelor,English,65-74,"$100,000 to $ 124,999",110000,Male,Nova Scoita,Don't Know,Yes,Yes,Married,Own a residence,3
Bachelor,English,25-34,"Less than $25,000",-506751767529384e29,Female,Nova Scoita,Poor/Fair,Yes,Yes,Living with a partner,No residence,3
Postgrad,English,65-74,"Less than $25,000",-4702615198561438e28,Female,Alberta,Excellent,Yes,No,Married,Own a residence,2
Bachelor,French,65-74,"$125,000 and more",135000,Male,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,4
Bachelor,English,65-74,"$75,000 to $99,999",89000,Male,Maintoba,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,1
Bachelor,English,65-74,"$75,000 to $99,999",80000,Male,Maintoba,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English,35-44,"Less than $25,000",-5119316818316013e28,Female,British Columbia,Good/Very Good,Yes,Yes,Never Married,Own a residence,3
No degree/diploma,English,55-64,"Less than $25,000",16000,Female,Maintoba,Poor/Fair,Yes,Yes,Married,No residence,3
Postgrad,French,75-84,"$50,000 to $74,999",70000,Male,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,1
High School,English,45-54,"$50,000 to $74,999",68000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
Bachelor,English,45-54,"Less than $25,000",-44556300898734145e27,Female,Maintoba,Poor/Fair,Yes,Yes,Never Married,No residence,3
No degree/diploma,Neither English nor French,15-24,"Less than $25,000",-42602916777071837e27,Male,Alberta,Poor/Fair,Yes,Don't know/Prefer not to say,Never Married,No residence,3
College/Trade,English,65-74,"Less than $25,000",-5078112707070291e28,Female,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English,15-24,"Less than $25,000",-451345086966062e29,Male,British Columbia,Excellent,Yes,No,Never Married,No residence,2
No degree/diploma,English,45-54,"$50,000 to $74,999",55000,Female,Alberta,Excellent,Yes,Yes,Separated,Own a residence,2
High School,English,25-34,"Less than $25,000",-4948064953209914e28,Female,Ontario,Poor/Fair,Yes,Yes,Married,No residence,1
Bachelor,French,45-54,"$125,000 and more",175000,Female,Quebec,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,3
Bachelor,French,55-64,"$125,000 and more",130000,Male,Ontario,Excellent,Yes,Yes,Married,Own a residence,1
High School,English,25-34,"Less than $25,000",-5165312105287983e28,Female,Alberta,Good/Very Good,Yes,Yes,Divorced,Own a residence,2
Postgrad,English_and_French,25-34,"$25,000 to $49,999",37000,Female,Quebec,Poor/Fair,Yes,Yes,Separated,No residence,1
Bachelor,Neither English nor French,35-44,"$125,000 and more",145000,Female,Ontario,Good/Very Good,Yes,No,Married,Own a residence,1
College/Trade,English,35-44,"$100,000 to $ 124,999",120000,Female,Alberta,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,3
Bachelor,English_and_French,45-54,"Less than $25,000",12508,Female,Quebec,Don't Know,Yes,Yes,Never Married,No residence,3
College/Trade,English,25-34,"Less than $25,000",-5044302251093026e28,Female,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,1
Postgrad,English,45-54,"$100,000 to $ 124,999",100000,Female,Ontario,Poor/Fair,Yes,No,Divorced,No residence,1
Postgrad,English,35-44,"$75,000 to $99,999",80000,Male,Nova Scoita,Poor/Fair,No,No,Married,Own a residence,5
Bachelor,English,65-74,"Less than $25,000",-5174600452775456e28,Female,Ontario,Good/Very Good,Yes,Yes,Widowed,Own a residence,1
High School,English_and_French,65-74,"$25,000 to $49,999",34000,Female,Quebec,Poor/Fair,Yes,Yes,Married,Own a residence,1
Postgrad,English,45-54,"$125,000 and more",170000,Male,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,5
Bachelor,English,65-74,"Less than $25,000",-5332045020561372e28,Female,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,2
Bachelor,English,25-34,"$125,000 and more",145000,Male,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English,55-64,"$75,000 to $99,999",89000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
College/Trade,French,65-74,"$25,000 to $49,999",42000,Female,Alberta,Excellent,Yes,Yes,Married,Own a residence,1
No degree/diploma,Neither English nor French,25-34,"$50,000 to $74,999",60000,Male,Alberta,Good/Very Good,Yes,No,Never Married,No residence,2
College/Trade,English_and_French,55-64,"Less than $25,000",37486986926422366e40,Female,Quebec,Excellent,Yes,Yes,Married,Own a residence,1
Bachelor,English,35-44,"$100,000 to $ 124,999",110000,Female,Nova Scoita,Poor/Fair,Yes,Yes,Married,Own a residence,1
College/Trade,English,35-44,"Less than $25,000",12000,Female,Ontario,Don't Know,Yes,Yes,Living with a partner,No residence,1
College/Trade,English,55-64,"$125,000 and more",200000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,3
Bachelor,English_and_French,45-54,"$75,000 to $99,999",83000,Female,Quebec,Good/Very Good,Yes,Yes,Separated,No residence,1
College/Trade,English,55-64,"$50,000 to $74,999",64000,Female,Ontario,Excellent,Yes,Yes,Divorced,Own a residence,5
College/Trade,English,55-64,"Less than $25,000",-5206472660390739e28,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
Postgrad,Neither English nor French,35-44,"$100,000 to $ 124,999",115000,Male,Ontario,Good/Very Good,Yes,No,Never Married,Own a residence,1
Postgrad,English,55-64,"$75,000 to $99,999",89000,Female,British Columbia,Excellent,Yes,Yes,Divorced,Own a residence,5
Postgrad,English,75-84,"$100,000 to $ 124,999",120000,Male,British Columbia,Excellent,Yes,No,Married,Own a residence,5
Postgrad,English,35-44,"Less than $25,000",-4498816005624085e28,Male,Alberta,Excellent,Yes,Yes,Separated,Own a residence,1
College/Trade,English_and_French,45-54,"$125,000 and more",350000,Female,Quebec,Poor/Fair,Yes,Yes,Divorced,No residence,5
Postgrad,English,65-74,"$100,000 to $ 124,999",100000,Female,Quebec,Good/Very Good,Yes,Yes,Never Married,Own a residence,1
Bachelor,English,35-44,"$125,000 and more",140000,Male,Ontario,Excellent,Yes,Yes,Living with a partner,Own a residence,3
College/Trade,French,35-44,"$100,000 to $ 124,999",120000,Female,Quebec,Excellent,Yes,Yes,Married,Own a residence,4
Bachelor,English,15-24,"Less than $25,000",-5070435936872554e28,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,3
Postgrad,French,45-54,"$125,000 and more",200000,Male,Quebec,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,4
Bachelor,English_and_French,25-34,"$100,000 to $ 124,999",100000,Male,Quebec,Good/Very Good,No,No,Married,Own a residence,1
Bachelor,English_and_French,35-44,"$100,000 to $ 124,999",110000,Female,British Columbia,Poor/Fair,Yes,Yes,Married,Own a residence,3
Bachelor,Neither English nor French,55-64,"$50,000 to $74,999",50000,Male,Quebec,Good/Very Good,Yes,No,Married,Own a residence,1
High School,English,45-54,"Less than $25,000",-4711598653048151e28,Female,Nova Scoita,Good/Very Good,Yes,Yes,Married,Own a residence,1
No degree/diploma,English,55-64,"Less than $25,000",-5249930802034946e28,Female,Maintoba,Good/Very Good,Yes,Yes,Married,Own a residence,2
No degree/diploma,English,15-24,"Less than $25,000",-4590327461995399e28,Male,Alberta,Poor/Fair,Yes,No,Never Married,No residence,1
Postgrad,English,25-34,"Less than $25,000",-4993406898037395e28,Female,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,2
High School,English,75-84,"$75,000 to $99,999",99000,Male,British Columbia,Good/Very Good,Yes,Yes,Widowed,Own a residence,3
College/Trade,English,55-64,"$125,000 and more",200000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,1
Bachelor,English,45-54,"$50,000 to $74,999",74000,Male,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,1
Bachelor,English,45-54,"$75,000 to $99,999",95000,Female,British Columbia,Poor/Fair,Yes,Yes,Separated,No residence,1
Bachelor,Neither English nor French,25-34,"$25,000 to $49,999",45000,Male,Quebec,Poor/Fair,Yes,No,Married,No residence,1
Postgrad,English,75-84,"Less than $25,000",-5075880454743289e28,Male,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,6
College/Trade,English,25-34,"Less than $25,000",-4946377152669986e28,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,2
College/Trade,English,55-64,"Less than $25,000",-510277637302472e29,Female,British Columbia,Good/Very Good,Yes,Yes,Married,Own a residence,2
College/Trade,French,25-34,"$125,000 and more",140000,Female,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,4
No degree/diploma,English,15-24,"Less than $25,000",-44374671782566426e27,Female,Ontario,Don't Know,Yes,Yes,Living with a partner,No residence,5
College/Trade,French,45-54,"Less than $25,000",-43952068305439975e27,Female,Quebec,Poor/Fair,Yes,Yes,Living with a partner,Own a residence,3
High School,French,75-84,"Less than $25,000",-4335632916002415e28,Male,Quebec,Excellent,Yes,Yes,Married,No residence,2
Postgrad,English,35-44,"Less than $25,000",-4937970817077571e28,Male,Alberta,Poor/Fair,Yes,No,Married,Own a residence,2
Bachelor,English,65-74,"Less than $25,000",-5218831715957307e28,Female,Alberta,Good/Very Good,Yes,Yes,Widowed,Own a residence,2
Bachelor,English,25-34,"$50,000 to $74,999",57400,Female,Ontario,Poor/Fair,Yes,Yes,Living with a partner,No residence,3
College/Trade,English,65-74,"$25,000 to $49,999",25000,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,1
College/Trade,French,35-44,"Less than $25,000",-4786798333878742e28,Female,Quebec,Poor/Fair,Yes,Yes,Living with a partner,Own a residence,4
High School,English_and_French,35-44,"$25,000 to $49,999",43000,Female,Ontario,Don't Know,Yes,Yes,Never Married,Own a residence,6
College/Trade,French,25-34,"Less than $25,000",-44571327768057374e27,Female,Quebec,Excellent,Yes,Yes,Married,Own a residence,4
Postgrad,English,35-44,"$125,000 and more",350000,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,1
College/Trade,French,25-34,"$100,000 to $ 124,999",109000,Female,Quebec,Poor/Fair,Yes,Yes,Living with a partner,Own a residence,4
College/Trade,English,55-64,"$125,000 and more",125000,Male,Saskatchewan,Good/Very Good,Yes,Yes,Married,Own a residence,3
Bachelor,English,55-64,"$125,000 and more",190000,Female,Nova Scoita,Good/Very Good,Yes,Yes,Married,Own a residence,1
No degree/diploma,English,55-64,"$100,000 to $ 124,999",100000,Male,British Columbia,Poor/Fair,Yes,Yes,Married,Own a residence,2
Postgrad,French,75-84,"$100,000 to $ 124,999",100000,Female,Quebec,Excellent,Yes,Yes,Widowed,Own a residence,4
College/Trade,English_and_French,65-74,"$125,000 and more",12079712949704304e44,Female,Ontario,Excellent,Yes,Yes,Don't know/Prefer not to answer,No residence,2
Bachelor,French,65-74,"Less than $25,000",-4986927921771221e28,Female,Quebec,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,4
Bachelor,English_and_French,25-34,"Less than $25,000",20000,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,3
